Id	Desc
CAT_000127_e1_d1	L. a. s. à Ch. de la Rounat, 1 p.in-
CAT_000127_e2_d1	L. a. s.; Paris, 26 juin 1750, 1 p. 1/2. in-4.
CAT_000127_e3_d1	Billet aut. sig., 1 p.in-18 obl. Légère écornure.
CAT_000127_e4_d1	Manuscrit autographe ; (1728), 55 pagesin-4.
CAT_000127_e5_d1	L. a. s. au baron de Tournon ; Paris, 10 avril 1782, 1 p.in-4, cachet à ses armes.
CAT_000127_e6_d1	Pièce aut.; (1769), 1 p.in-4.
CAT_000127_e7_d1	Let. aut., en français, à Maupertuis: Venise, 1er juin 1756, 1 p.in-4, cachet à ses armes.
CAT_000127_e8_d1	L. a. s. à un journaliste ; Paris, 11 mai 1855, 4 p.in-8.
CAT_000127_e9_d1	L. a. s., 1 p.in-4.
CAT_000127_e10_d1	Manuscrit aut. sig.; (1871), 8 p.in-4. 22 » Original de la préface du catalogue de la vente de M. Amand, faite les 11-12-13 décembre 1871. Cette préface est une sorte de bibliographie romantique, la vente de M. Amand ne se composant que d'ouvrages det cette époque.
CAT_000127_e11_d1	L. a. s., 1/2 p.in-8.
CAT_000127_e12_d1	Pièce aut.; (1845), 2 p.in-4.
CAT_000127_e13_d1	L. a. s. au directeur du Progresseur; (vers 1835), 2 p. pleines in-8.
CAT_000127_e14_d1	L. a. s. à Mme Jules Lejey; 1/2 p.in-8.
CAT_000127_e15_d1	Let. sig. au camérier Gertanthonison, à Stralsund ; Triebsées (Poméranie), 23 septembre 1638, 1 p.in-fol., cachet.
CAT_000127_e16_d1	L. a. sig. en abrégé; (29 mai 1863), 4 p.in-8.
CAT_000127_e17_d1	L. a. s. à l'abbé Guillon; Villeneuve-de-Berg, 5 mars 1804, 2 p.in-4.
CAT_000127_e18_d1	L. a. s. à l'abbé Guillon de Montléon ; Rouen, 2 décembre 1824, 3 p.in-4, cachet.
CAT_000127_e19_d1	L. a. sig. de ses initiales à son éditeur ; (1861), 1 p. 1/2in-8.
CAT_000127_e20_d1	L. a. s., 3/4 de p.in-8.
CAT_000127_e21_d1	L. a. s., 1 p.in-8. Un peu fripée.
CAT_000127_e22_d1	L. a. s., 1/2 p.in-8.
CAT_000127_e23_d1	Pièce aut. ; 1 p. 1/2in-18 obl. Article Topographie, rédigé pour l'Encyclopédie.
CAT_000127_e24_d1	2 1. s.; Paris, 1828-29, 5 p. 1/2in-8.
CAT_000127_e25_d1	L. a. s. à Rouget de Lisle ; Passy, 12 nov. 1834, 3 p. pleines in-8.
CAT_000127_e26_d1	L. a. s. ; Mont-Saint-Michel, 30 mai 1843, 3 p. 1/4in-8.
CAT_000127_e27_d1	L. a. s., 3 p.in-18. Papier à son chiffre avec sa devise : Quand même. Très belle lettre.
CAT_000127_e28_d1	L. a. s. ; Paris, 1er février 1783, 3/4 de p.in-4. Belle lettre.
CAT_000127_e29_d1	Manuscrit aut. sig. de ses initiales; (1850), 38 pagesin-4.
CAT_000127_e30_d1	Manuscrit aut. sig. ; mai 1869, 20 p.in-18. Les feuillets, qui avaient été coupés pour l'impression, ont été réunis.
CAT_000127_e31_d1	L. a. s.; (23 décembre 1787), 1 p.in-8.
CAT_000127_e32_d1	Pièce sig. sur vélin; sig. aussi par Antoine de Veilhan, Louis d'Armes, Jacques Bolaire, seigneur de Sigogne; Nevers. 4 mars 1575, double in-fol. obl. Très rare.
CAT_000127_e33_d1	L. a. s. à Mme de Baude, à Rudemont ; Paris, 5 juin, 2 p.in-4, cachet.
CAT_000127_e34_d1	L. a. sig. de ses initiales; 6 mars (1812), 3 p. 1/2in-4.
CAT_000127_e35_d1	L. a. s. à Bourrienne, 3/4 de p.in-4.
CAT_000127_e36_d1	L. a. s. à d'Hautmesnil; 1/4 de p.in-4.
CAT_000127_e37_d1	L. a. s. ; Londres, 10 février 1860, 4 p.in-8. Jolie lettre.
CAT_000127_e38_d1	P. a. s., 1 p. 1/4in-4.
CAT_000127_e39_d1	Pièce aut. sig., écrite au crayon; 15 mars 1836, 1 p.in-8 obl.
CAT_000127_e40_d1	L. a. s. à Jacques Laffitte; (1er septembre 1819), 1 p. 1/2in-4.
CAT_000127_e41_d1	L. a. s. au baron Seckmann ; Broglie, 7 décembre 1856, 3 p.in-8.
CAT_000127_e42_d1	L. a. s. à sonfrère; Bath, 1799, 3 p.in-fol.
CAT_000127_e43_d1	P. a. s., 1/2 p.in-8.
